t,X,Y,Z
15.932,375,176,1.116799
15.97,372,178,1.123204
15.997,371,177,1.130065
16.028,375,169,1.149683
16.067,376,168,1.155957
16.095,375,167,1.160167
16.132,376,162,1.168566
16.168,377,161,1.173332
16.196,377,160,1.176183
16.233,378,160,1.178317
16.267,378,160,1.178817
16.297,380,163,1.177487
16.329,384,163,1.175706
16.368,386,169,1.166778
16.398,388,174,1.15784
16.436,393,191,1.142482
16.464,396,196,1.136249
16.499,402,206,1.121786
16.532,405,214,1.107374
16.567,423,230,1.099337
16.596,438,231,1.085021
16.629,453,239,1.071513
16.664,425,273,1.157332
16.696,469,269,1.05579
16.732,434,297,1.152915
16.765,438,305,1.152184
16.796,440,309,1.151564
16.831,485,306,1.047058
16.865,430,324,1.186696
16.895,485,320,1.049077
16.928,430,329,1.187634
16.965,484,326,1.051017
16.997,430,332,1.188063
17.034,419,342,1.223027
17.065,412,362,1.246418
17.096,413,361,1.235794
17.132,419,354,1.186282
17.165,410,356,1.198302
17.198,407,356,1.189475
17.236,404,355,1.188061
17.263,396,350,1.180481
17.3,386,352,1.175026
17.334,386,344,1.175272
17.363,387,343,1.169071
17.399,379,344,1.184813
17.432,353,245,0.998324
17.464,338,265,1.032258
17.498,335,256,1.0326
17.532,342,222,1.011423
17.565,341,221,1.012667
17.596,317,244,1.057084
17.63,316,242,1.057785
17.666,311,238,1.059803
17.696,301,234,1.067266
17.735,300,233,1.06839
17.763,291,224,1.074223
17.797,290,225,1.075144
17.832,289,238,1.079487
17.867,289,233,1.079334
17.898,289,232,1.07953
17.936,287,227,1.079605
17.962,288,228,1.079825
17.996,288,230,1.07975
18.033,288,230,1.079562
18.064,289,238,1.079796
18.1,294,226,1.071015
18.13,292,230,1.073857
18.168,291,230,1.074208
18.2,291,230,1.074051
18.23,290,238,1.076616
18.269,290,237,1.075931
18.3,290,239,1.0766
18.332,289,239,1.076901
18.37,290,237,1.074502
18.405,291,236,1.073712
18.434,290,239,1.075119
18.466,289,239,1.075182
18.497,290,237,1.073983
18.533,291,234,1.072644
18.566,291,234,1.072727
18.599,292,233,1.072379
18.631,292,233,1.072437
18.667,292,233,1.071896
18.703,292,233,1.071895
18.734,294,235,1.071899
18.766,295,235,1.071371
18.8,294,234,1.071823
18.832,295,234,1.071675
18.866,295,234,1.071479
18.9,293,232,1.071282
18.933,293,232,1.071344
18.966,293,231,1.071077
19.001,293,231,1.071153
19.031,293,231,1.071263
19.066,292,231,1.071219
19.099,292,231,1.071096
19.131,289,239,1.074524
19.166,291,238,1.072479
19.202,291,237,1.071865
19.23,291,235,1.071075
19.266,291,235,1.070941
19.3,291,235,1.070826
19.329,291,235,1.070693
19.366,291,235,1.070587
19.399,290,234,1.070385
19.437,290,234,1.070082
19.473,290,233,1.069776
19.501,288,239,1.07302
19.537,289,238,1.071445
19.567,289,237,1.070842
19.6,287,239,1.072583
19.633,288,238,1.071536
19.668,288,236,1.070819
19.709,287,235,1.070807
19.735,287,235,1.070646
19.77,286,239,1.072935
19.8,288,236,1.07132
19.835,288,235,1.071079
19.873,289,234,1.071119
19.902,289,234,1.071608
19.935,291,233,1.071904
19.973,292,233,1.073302
20.002,309,203,1.052677
20.033,310,200,1.050699
20.07,323,233,1.140051
20.1,343,213,1.067968
20.136,355,194,1.05299
20.178,354,213,1.077789
20.202,353,215,1.077255
20.235,363,223,1.082391
20.268,371,229,1.086404
20.302,396,212,1.08833
20.334,404,210,1.091008
20.37,421,215,1.108487
20.405,452,215,1.134798
20.436,453,215,1.136925
20.47,430,242,1.212636
20.502,433,242,1.219673
20.534,436,242,1.224267
20.568,436,246,1.235062
20.601,437,247,1.237622
20.635,438,248,1.239145
20.671,439,248,1.240213
20.702,439,249,1.239863
20.737,438,251,1.236746
20.771,439,250,1.225308
20.803,434,253,1.213638
20.839,430,255,1.203517
20.872,427,257,1.194417
20.904,443,234,1.089742
20.938,436,238,1.080471
20.97,420,254,1.067056
21.003,416,256,1.059575
21.038,405,267,1.045141
21.066,394,275,1.035736
21.106,383,285,1.0302
21.137,379,289,1.025091
21.169,371,299,1.017309
21.208,366,305,1.014167
21.236,361,309,1.010692
21.268,359,311,1.007106
21.302,357,315,1.004766
21.339,355,318,1.003654
21.37,353,318,1.001083
21.405,351,319,1.001137
21.435,351,319,1.001251
21.47,350,319,1.001474
21.507,350,318,1.002047
21.538,350,317,1.003487
21.57,351,311,1.005811
21.608,351,304,1.008781
21.639,353,296,1.013598
21.671,355,284,1.017897
21.707,355,265,1.019896
21.736,353,269,1.035373
21.773,360,271,1.053303
21.808,362,232,1.060947
21.837,362,223,1.068263
21.872,365,202,1.085121
21.911,378,181,1.099825
21.939,378,178,1.108426
21.974,376,175,1.123322
22.011,374,174,1.134553
22.039,372,170,1.148282
22.072,371,167,1.161581
22.109,372,164,1.172857
22.136,373,163,1.179971
22.173,375,160,1.190125
22.206,376,160,1.194536
22.24,378,159,1.201347
22.273,378,159,1.201327
22.31,378,159,1.201486
22.337,380,160,1.200153
22.374,381,162,1.196301
22.406,384,165,1.186431
22.439,387,171,1.174767
22.474,392,174,1.161285
22.507,396,197,1.141659
22.536,400,202,1.13229
22.573,405,215,1.111772
22.606,415,219,1.100881
22.636,436,227,1.080593
22.673,440,237,1.07056
22.708,452,252,1.056024
22.738,460,264,1.047079
22.771,467,278,1.038267
22.806,470,289,1.033839
22.838,423,310,1.173781
22.874,424,352,1.180035
22.905,423,352,1.181354
22.939,421,355,1.18625
22.972,420,355,1.191346
23.005,417,354,1.197336
23.038,420,355,1.176899
23.071,418,354,1.17858
23.105,412,355,1.195297
23.139,410,355,1.196146
23.174,404,352,1.19834
23.209,398,352,1.211233
23.241,396,352,1.204189
23.273,392,346,1.189619
23.305,390,346,1.184999
23.34,383,289,1.028407
23.373,367,311,1.170115
23.408,377,354,1.207004
23.439,389,384,1.217202
23.474,384,380,1.252604
23.51,386,377,1.235411
23.539,386,378,1.239281
23.573,381,376,1.23891
23.61,375,376,1.33622
23.638,372,377,1.328425
23.673,372,376,1.330026
23.709,371,375,1.334
23.738,370,374,1.336958
23.776,369,372,1.337055
23.805,368,372,1.337803
23.841,368,372,1.337009
23.874,368,373,1.336641
23.912,367,375,1.329727
23.94,367,376,1.329345
23.973,367,376,1.328667
24.006,367,376,1.32857
24.038,367,376,1.328616
24.074,367,376,1.32837
24.105,367,376,1.32888
24.138,367,376,1.329433
24.174,367,376,1.329572
24.209,367,376,1.329643
24.239,367,376,1.329587
24.275,367,375,1.329414
24.31,367,375,1.329375
24.34,367,375,1.328689
24.375,367,375,1.328669
24.41,367,375,1.328579
24.44,367,375,1.328252
24.476,367,375,1.327127
24.51,367,376,1.327127
24.541,367,376,1.326805
24.572,367,376,1.326439
24.61,367,376,1.326171
24.641,367,376,1.325036
24.673,366,376,1.323807
24.709,366,376,1.322719
24.742,366,377,1.32005
24.772,366,377,1.317497
24.809,366,377,1.315201
24.842,366,377,1.314639
24.874,366,377,1.313907
24.911,366,378,1.311417
24.94,367,378,1.310602
24.974,367,378,1.310093
25.008,367,378,1.309558
25.041,367,378,1.309179
25.072,367,378,1.309558
25.11,367,377,1.309594
25.143,365,378,1.293041
25.172,365,378,1.287761
25.209,364,378,1.283562
25.241,375,370,1.262362
25.274,377,369,1.261194
25.309,377,368,1.258383
25.342,377,368,1.256655
25.373,378,367,1.256338
25.406,378,367,1.259602
25.441,379,367,1.264596
25.473,380,367,1.265943
25.507,380,367,1.267087
25.542,380,367,1.267558
25.575,380,367,1.267728
25.61,378,366,1.26904
25.642,379,366,1.270487
25.675,381,365,1.277678
25.714,383,364,1.291028
25.741,385,363,1.306593
25.775,384,363,1.318596
25.811,378,372,1.282835
25.844,332,336,1.481894
25.874,339,344,1.453419
25.914,354,356,1.395247
25.942,379,335,1.312085
25.978,346,338,1.471473
26.011,363,355,1.474391
26.041,361,355,1.475966
26.075,357,356,1.47739
26.112,356,354,1.480572
26.14,429,360,1.300656
26.175,428,363,1.301985
26.211,420,377,1.339159
26.242,353,333,1.504158
26.276,342,328,1.518704
26.313,343,328,1.519293
26.342,340,328,1.518808
26.377,339,334,1.514365
26.409,339,337,1.509822
26.442,341,338,1.509011
26.475,341,329,1.533138
26.513,357,357,1.495657
26.54,354,368,1.50245
26.575,363,376,1.435858
26.61,375,358,1.514802
26.642,402,350,1.197168
26.675,409,337,1.235205
26.712,405,342,1.230753
26.742,414,326,1.150958
26.776,403,312,1.142283
26.812,403,264,1.034852
26.844,385,279,1.018336
26.878,379,284,1.013456
26.914,368,297,1.006525
26.944,362,301,1.000135
26.98,359,305,0.9937124
27.01,353,310,0.9863714
27.046,347,315,0.9830504
27.08,342,318,0.9813724
27.108,338,319,0.9789253
27.141,335,320,0.9780425
27.177,335,320,0.9777741
27.21,335,320,0.9777287
27.245,334,319,0.978193
27.278,334,316,0.9796852
27.312,336,309,0.9824798
27.344,337,303,0.986702
27.378,339,296,0.9924042
27.411,339,290,1.000043
27.444,338,275,1.00639
27.477,338,274,1.016469
27.515,339,273,1.027655
27.546,342,271,1.038847
27.579,348,266,1.068016
27.61,344,221,1.06813
27.644,345,219,1.0756
27.679,356,178,1.094368
27.715,355,178,1.101755
