t,X,Y,Z
12.054,376,162,1.168458
12.09,377,161,1.173223
12.124,377,160,1.176075
12.153,378,160,1.178208
12.19,378,160,1.178709
12.221,380,163,1.177379
12.254,384,163,1.175598
12.289,386,169,1.166671
12.33,388,174,1.157733
12.353,393,191,1.142376
12.388,396,196,1.136143
12.419,402,206,1.121681
12.458,405,214,1.107268
12.49,423,230,1.099232
12.518,438,231,1.084796
12.556,453,239,1.07143
12.589,460,246,1.060637
12.622,469,269,1.055686
12.656,435,295,1.150693
12.689,429,308,1.177663
12.72,422,320,1.221828
12.754,426,325,1.222625
12.787,486,314,1.047861
12.82,433,327,1.179344
12.858,485,323,1.04943
12.885,430,332,1.185414
12.921,484,327,1.050467
12.957,433,332,1.175836
12.985,425,340,1.201868
13.021,412,359,1.231987
13.059,419,354,1.186003
13.09,413,356,1.189877
13.121,408,356,1.18559
13.156,404,355,1.186475
13.187,396,350,1.179683
13.22,386,353,1.168683
13.257,386,344,1.174817
13.286,387,343,1.168628
13.323,380,349,1.17204
13.361,377,351,1.173311
13.389,371,354,1.173179
13.422,381,382,1.212528
13.455,380,384,1.219842
13.488,380,388,1.238349
13.523,383,379,1.325054
13.557,382,380,1.315192
13.588,381,381,1.312134
13.626,379,381,1.313255
13.655,377,381,1.315694
13.69,376,380,1.318583
13.72,376,379,1.320822
13.756,376,379,1.323057
13.788,375,379,1.323864
13.828,375,379,1.324698
13.855,375,379,1.324525
13.891,375,379,1.324554
13.92,375,379,1.324387
13.961,375,379,1.324682
13.985,375,379,1.32444
14.025,375,379,1.323894
14.056,375,379,1.321998
14.092,375,379,1.321135
14.123,375,379,1.320641
14.158,375,379,1.318954
14.189,375,379,1.318441
14.222,375,379,1.31826
14.258,375,379,1.317921
14.291,375,379,1.31675
14.324,376,379,1.316474
14.357,376,379,1.316171
14.389,376,379,1.316163
14.426,376,380,1.315569
14.456,376,380,1.315354
14.493,376,380,1.315245
14.524,376,380,1.315631
14.556,376,380,1.315802
14.59,376,380,1.316294
14.623,376,380,1.316497
14.657,376,380,1.316112
14.689,376,380,1.316069
14.723,376,380,1.316213
14.755,376,380,1.316219
14.789,376,380,1.316181
14.825,376,380,1.315826
14.854,376,380,1.314721
14.89,376,381,1.314222
14.924,376,380,1.311745
14.956,376,380,1.307544
14.99,376,381,1.302796
15.024,375,381,1.296278
15.055,375,380,1.290691
15.091,332,315,1.153568
15.123,330,312,1.152551
15.156,330,312,1.151872
15.189,329,310,1.151921
15.223,329,310,1.15169
15.258,329,310,1.151654
15.288,329,309,1.151679
15.325,328,309,1.151185
15.36,329,309,1.151174
15.392,328,309,1.151491
15.422,328,308,1.151915
15.458,327,308,1.152157
