t,X,Y,Z
18.348,450,353,0.9127628
18.378,450,353,0.9157274
18.414,451,353,0.9188716
18.446,451,354,0.919193
18.478,451,354,0.9224706
18.515,450,354,0.9261982
18.546,450,353,0.9299137
18.582,450,353,0.9338904
18.613,450,353,0.9370748
18.647,450,353,0.9390017
18.682,450,353,0.9405294
18.715,450,353,0.9415296
18.746,450,353,0.9424515
18.781,449,353,0.9433028
18.814,449,353,0.9445046
18.846,449,352,0.9456738
18.881,449,352,0.9467967
18.913,448,352,0.9479665
18.946,448,352,0.9493275
18.985,448,352,0.9505911
19.014,448,352,0.9517626
19.046,448,351,0.9525722
19.081,448,351,0.9532836
19.115,447,351,0.9538327
19.146,447,351,0.9544313
19.183,447,351,0.9549797
19.214,447,351,0.9555127
19.245,447,351,0.9560262
19.281,447,353,0.9520512
19.314,454,363,0.9323585
19.346,455,365,0.9279551
19.382,456,367,0.9249682
19.413,457,368,0.9229247
19.446,457,368,0.9216148
19.482,457,368,0.9206374
19.514,457,368,0.9198751
19.545,457,369,0.9192248
19.583,457,369,0.9186157
19.613,456,368,0.9176253
19.646,455,369,0.917956
19.682,454,368,0.9187153
19.713,386,352,0.9193648
19.746,349,344,0.9199818
19.782,329,339,0.9204718
19.816,318,336,0.9205275
19.853,310,335,0.9204383
19.886,306,333,0.9201617
19.914,303,332,0.9195493
19.95,301,331,0.9183803
19.983,300,329,0.9166888
20.014,310,325,0.9055932
20.05,314,325,0.8991555
20.082,319,325,0.8887346
20.114,359,313,0.8595048
20.165,391,306,0.8361424
20.184,411,301,0.8215079
20.214,419,291,0.8127138
20.25,420,283,0.8122098
20.281,418,275,0.8140407
20.314,351,251,0.8337196
20.351,315,245,0.8371933
20.381,236,247,0.8464396
20.412,219,245,0.8489665
20.456,219,244,0.8552347
20.481,216,245,0.8568877
20.515,198,251,0.853863
20.55,184,257,0.8510763
20.584,175,260,0.8491719
20.615,165,265,0.8481278
20.652,165,267,0.8488141
20.685,169,284,0.8570163
20.719,174,297,0.8579022
20.753,182,318,0.8573997
20.786,195,342,0.8598327
20.818,202,363,0.8602453
20.853,220,406,0.8381293
20.889,235,437,0.8206087
20.919,247,460,0.8080868
20.956,298,464,0.8070415
20.985,324,455,0.8149355
21.017,340,451,0.8203772
21.052,354,448,0.8210281
21.085,361,445,0.8232554
21.12,365,443,0.825624
21.154,369,440,0.8269231
21.184,370,423,0.8486533
21.225,371,420,0.8523198
21.252,372,418,0.8546088
21.288,370,414,0.8608615
21.321,367,410,0.8662857
21.358,364,408,0.8703599
21.385,363,407,0.8735381
21.427,361,405,0.8761072
21.452,361,405,0.8758043
21.487,360,405,0.8749381
21.522,360,406,0.8737656
21.557,359,406,0.8724515
21.586,359,407,0.8711043
21.62,359,407,0.8697934
21.653,359,407,0.8685601
21.686,359,407,0.8674151
21.722,360,408,0.8663642
21.756,360,409,0.86539
21.784,359,410,0.864699
21.821,358,410,0.8666701
21.855,355,409,0.8689278
21.887,355,409,0.8701905
21.92,354,409,0.8713486
21.952,354,409,0.8708059
21.985,354,410,0.8700023
22.021,354,411,0.8690809
22.052,354,412,0.868121
22.087,354,407,0.8770278
22.122,354,407,0.8769208
22.153,354,408,0.8761325
22.185,354,408,0.8766155
22.222,354,409,0.8753785
22.254,354,411,0.8739727
22.288,354,412,0.8725327
22.321,354,413,0.8711373
22.36,354,414,0.869829
22.387,354,416,0.868604
22.42,354,416,0.8674687
22.452,355,416,0.8663988
22.489,355,417,0.8653794
22.522,355,418,0.8643983
22.552,355,418,0.8634242
22.589,355,418,0.8634259
22.62,355,418,0.8624568
22.652,355,418,0.8613441
22.687,355,418,0.8600566
22.719,355,417,0.858646
22.751,355,417,0.857169
22.789,355,416,0.8556947
22.826,355,416,0.8542703
22.855,336,381,0.8733518
22.89,323,359,0.8872851
22.921,315,344,0.8973528
22.954,309,335,0.9041878
22.999,306,328,0.9090419
23.022,303,324,0.9123316
23.055,302,321,0.9145945
23.089,301,319,0.9161518
23.121,300,318,0.9172594
23.154,300,317,0.9182052
23.191,300,317,0.9202304
23.225,300,316,0.9212906
23.254,301,313,0.917158
23.288,304,313,0.9136766
23.322,310,317,0.9073946
23.353,315,319,0.9030278
23.389,320,323,0.8954988
23.424,325,322,0.8937892
23.453,328,320,0.8923999
23.491,332,318,0.8918453
23.521,335,320,0.8806244
23.558,336,321,0.8730786
23.591,336,319,0.870852
23.623,337,318,0.8695086
23.658,336,351,0.8693677
23.69,335,380,0.8698332
23.721,334,400,0.8719779
23.755,334,416,0.8737053
23.787,348,375,0.8669032
23.821,302,315,0.8469847
25.424,347,362,0.7780378
25.458,347,359,0.7806483
25.493,347,359,0.7811425
25.528,347,362,0.782492
25.56,347,362,0.7868663
25.592,347,358,0.7938835
25.628,347,355,0.7996114
25.664,347,352,0.8050529
25.691,346,349,0.8101052
25.726,346,346,0.8150895
25.759,344,344,0.8199
25.789,343,341,0.8244352
25.827,342,338,0.8285996
25.86,342,336,0.8324751
25.891,341,334,0.8360615
25.926,340,332,0.8392397
25.958,340,331,0.8421345
25.993,339,329,0.8449977
26.026,338,328,0.8475708
26.058,338,327,0.8499485
26.093,338,327,0.8520807
26.127,338,326,0.8540558
26.158,342,340,0.8420348
26.196,343,356,0.8352235
26.227,345,369,0.8296716
26.258,346,380,0.8252543
26.293,347,389,0.8219294
26.326,348,396,0.8193434
26.364,350,402,0.8171718
26.393,352,407,0.8154849
26.426,353,409,0.8141454
26.463,354,412,0.8128033
26.499,355,415,0.8116911
26.531,356,416,0.8108641
26.557,356,417,0.8101872
26.597,356,418,0.8096636
26.63,357,419,0.8092415
26.663,357,420,0.8089414
26.693,358,420,0.8086794
26.727,358,420,0.8084264
26.758,359,421,0.8081798
26.795,359,421,0.8079295
26.826,359,421,0.807789
26.864,360,422,0.8076524
26.895,360,422,0.807465
26.925,361,422,0.8071675
26.957,361,422,0.8066745
26.993,362,423,0.8061165
27.031,362,423,0.8059683
27.057,362,423,0.8058845
27.092,362,423,0.8058555
27.127,363,423,0.8058835
27.159,363,423,0.8059675
27.195,363,423,0.8061858
27.225,362,422,0.8087036
27.266,362,416,0.8171343
27.293,362,408,0.826673
27.325,359,405,0.8311666
27.36,358,389,0.8472662
27.393,354,381,0.8555301
27.427,351,376,0.8610185
27.463,348,370,0.8646864
27.493,346,365,0.8663732
27.524,344,360,0.8665612
27.58,342,354,0.8653969
27.594,339,349,0.8632982
27.625,337,341,0.8599566
27.666,335,335,0.8567444
27.696,334,327,0.8529726
27.726,334,322,0.8501965
27.765,332,315,0.8471568
27.799,330,309,0.8445523
27.825,330,305,0.8422287
27.865,330,301,0.8401573
27.895,329,298,0.8387867
27.924,330,297,0.8444963
27.962,333,297,0.8515047
27.996,335,297,0.858688
28.024,338,297,0.8657659
28.06,329,381,0.9048144
28.092,325,435,0.9310428
28.124,323,466,0.9485261
28.163,322,485,0.9595883
28.195,321,497,0.9667614
28.226,321,505,0.9714186
28.261,303,467,0.9241215
28.292,288,435,0.8885749
28.327,278,410,0.8638898
28.361,271,392,0.8472429
28.394,266,379,0.8362464
28.425,264,369,0.8289248
28.461,262,363,0.8240691
28.493,261,358,0.8210086
28.532,250,351,0.818747
28.564,245,346,0.8175321
28.593,239,312,0.8311629
28.629,248,279,0.8430328
28.662,254,256,0.8521358
28.692,259,239,0.8587906
28.732,263,227,0.8636525
28.759,262,220,0.8671477
28.793,261,215,0.8697435
28.828,260,212,0.8716955
28.861,259,210,0.8732018
28.893,258,208,0.8743814
28.931,256,206,0.8759226
28.959,247,210,0.8752036
28.993,238,219,0.8695861
29.028,230,223,0.8671691
29.06,226,225,0.8635358
29.091,221,225,0.8602294
29.128,219,225,0.8577112
29.16,217,226,0.855562
29.196,215,226,0.8536599
29.232,214,226,0.8519852
29.26,212,227,0.8503782
29.292,212,227,0.8489112
29.328,212,227,0.8476263
29.358,211,227,0.8465141
29.39,210,227,0.8455939
29.426,210,227,0.844556
29.458,210,228,0.8438882
29.492,210,228,0.8433514
29.527,207,229,0.8399698
29.559,207,229,0.8393703
29.591,206,229,0.8390734
29.626,206,229,0.8390403
29.659,205,229,0.839258
29.694,205,229,0.8396258
29.726,204,229,0.8377089
29.758,204,227,0.8350588
29.795,205,213,0.8343142
29.831,205,199,0.8320179
29.859,201,157,0.8310771
29.895,200,148,0.8306325
29.927,199,139,0.8305706
29.962,196,134,0.830767
29.996,195,130,0.8314952
30.029,194,127,0.8320917
30.06,193,126,0.8329268
30.098,192,125,0.834408
30.128,213,143,0.8639215
30.16,257,178,0.8910898
30.199,283,199,0.9155977
30.231,298,213,0.9331561
30.268,309,222,0.9454319
30.299,316,229,0.9533396
30.329,319,233,0.9587707
30.362,322,236,0.9624946
30.398,324,239,0.9652903
30.434,326,240,0.9672621
30.464,324,283,0.9182702
30.497,321,313,0.8861542
30.53,321,336,0.8644434
30.563,319,348,0.8524624
30.598,319,356,0.8450981
30.634,319,362,0.8404894
30.661,318,365,0.8375369
30.697,318,367,0.8356192
30.733,318,369,0.8343815
30.769,318,370,0.8336119
30.798,318,371,0.8331693
30.83,317,371,0.8329504
30.86,317,372,0.8328829
30.899,317,372,0.8329244
30.931,317,372,0.8330336
30.968,317,372,0.8331887
31.002,317,372,0.8333705
31.034,317,372,0.8335642
31.068,316,372,0.8337569
31.099,316,371,0.8339362
31.129,316,371,0.8341053
31.164,316,371,0.8342673
31.196,316,371,0.8344221
31.234,316,371,0.8345706
31.267,316,371,0.8347136
31.302,316,371,0.8348549
31.329,315,371,0.8349763
31.368,315,371,0.8351277
31.398,315,371,0.8354073
31.429,315,371,0.8357645
31.468,314,371,0.8362231
31.499,313,370,0.8367422
31.528,313,370,0.8372855
31.57,312,370,0.8376934
31.598,312,370,0.838204
31.628,312,370,0.838557
31.668,311,369,0.8390056
31.702,311,369,0.8394288
31.729,310,369,0.8396224
31.77,310,369,0.8398804
31.796,310,369,0.8399619
31.829,310,368,0.840054
31.864,310,368,0.8400545
31.896,310,366,0.8399858
31.927,310,363,0.8398933
31.963,310,362,0.8397217
31.996,310,359,0.8396033
32.028,310,356,0.8394551
32.063,310,354,0.8392844
32.095,310,347,0.8345659
32.135,310,343,0.8340409
32.169,309,338,0.8338413
32.199,308,333,0.83403
32.236,307,328,0.8342132
32.267,306,324,0.8343605
32.297,305,320,0.8345919
32.336,308,299,0.8511412
32.368,310,281,0.8656988
32.397,311,266,0.8779961
32.434,306,259,0.8885311
32.468,301,253,0.8968062
32.497,297,248,0.902086
32.534,294,244,0.9046527
32.569,292,240,0.9067045
32.598,287,238,0.9089468
32.634,282,237,0.9114841
